,price,city_name,salon,nb_rooms,nb_baths,surface_area,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine Équipée,Duplex,Meublé,Parking,Sécurité,Terrasse
178,1500000.0,Rabat,1.0,4.0,1.0,116.0,1,0,0,0,1,0,0,0,0,1,0
179,890000.0,Rabat,1.0,2.0,2.0,116.0,0,0,0,0,0,1,0,0,0,0,0
180,890000.0,Tanger,1.0,2.0,2.0,90.0,1,1,0,0,0,1,0,0,1,1,0
181,1100000.0,Marrakech,1.0,2.0,2.0,61.0,0,0,0,0,0,0,0,0,0,0,0
183,890000.0,Agadir,1.0,2.0,2.0,100.0,0,1,0,1,1,1,0,0,0,0,0
184,680000.0,Agadir,1.0,2.0,1.0,63.0,0,1,0,1,0,1,0,0,0,0,0
185,890000.0,Agadir,1.0,2.0,2.0,80.0,0,0,0,0,0,0,0,0,0,0,0
186,890000.0,Kénitra,1.0,2.0,2.0,66.0,0,0,0,0,0,0,0,0,0,0,0
187,1020000.0,Casablanca,1.0,3.0,2.0,91.0,1,1,0,0,1,1,0,0,1,1,1
188,420000.0,Tétouan,1.0,3.0,1.0,60.0,0,1,0,0,0,0,0,0,1,0,1
189,540000.0,Saidia,1.0,3.0,2.0,84.0,0,1,0,0,0,0,0,0,0,0,0
190,310000.0,Casablanca,1.0,2.0,2.0,50.0,0,0,0,0,0,1,0,0,1,1,1
192,450000.0,Tanger,1.0,2.0,1.0,60.0,1,0,0,0,1,1,1,0,0,1,0
193,900000.0,Casablanca,2.0,2.0,1.0,85.0,1,1,0,0,1,1,0,0,1,1,0
194,10500.0,Nouaceur,2.0,3.0,2.0,165.0,1,1,0,1,1,1,0,0,1,1,1
195,890000.0,Casablanca,1.0,2.0,2.0,118.0,0,1,0,0,0,1,0,0,0,0,0
196,750000.0,Fès,1.0,3.0,2.0,109.0,1,1,0,0,1,0,0,0,1,0,1
198,780000.0,Kénitra,1.0,1.0,1.0,90.0,1,0,1,1,1,1,0,0,1,1,1
200,1060000.0,Mohammedia,1.0,3.0,1.0,87.0,1,1,0,1,0,1,0,0,1,1,0
202,850000.0,Marrakech,1.0,3.0,2.0,108.0,1,1,0,0,0,1,0,0,1,1,0
203,1200000.0,Rabat,1.0,1.0,2.0,75.0,1,1,1,0,1,1,0,0,1,1,0
204,890000.0,Kénitra,1.0,2.0,2.0,122.0,0,0,0,0,0,0,0,0,0,0,0
205,780000.0,Mohammedia,2.0,2.0,1.0,75.0,0,0,0,0,1,0,0,0,1,1,0
206,2250000.0,Casablanca,2.0,3.0,2.0,160.0,1,1,0,1,1,0,0,0,1,1,1
209,1550000.0,Tanger,1.0,3.0,3.0,110.0,1,1,0,0,1,1,0,0,0,1,1
210,890000.0,Fès,3.0,2.0,2.0,144.0,0,1,0,0,0,0,1,0,0,0,1
212,1950000.0,Casablanca,1.0,2.0,3.0,94.0,1,1,0,0,1,1,0,0,1,1,1
213,500000.0,Fès,1.0,3.0,1.0,87.0,0,1,0,0,0,0,0,0,1,0,0
215,890000.0,Agadir,1.0,2.0,2.0,76.0,0,0,0,1,0,1,0,0,0,0,1
216,890000.0,Casablanca,1.0,2.0,2.0,48.0,0,0,0,0,0,0,0,0,0,0,0
217,285000.0,Casablanca,1.0,2.0,1.0,54.0,0,0,0,0,0,0,0,0,0,0,0
221,1250000.0,Casablanca,1.0,1.0,1.0,87.0,0,1,0,0,0,0,0,0,1,0,1
222,890000.0,Casablanca,1.0,2.0,2.0,58.0,0,1,1,1,0,1,0,1,1,1,1
223,430000.0,Kénitra,1.0,3.0,1.0,68.0,0,0,0,0,0,0,0,0,0,0,0
224,720000.0,Mohammedia,1.0,2.0,2.0,87.0,0,0,0,0,0,1,0,0,1,0,0
225,959600.0,Casablanca,1.0,2.0,2.0,83.0,1,1,0,1,1,1,0,0,1,1,0
226,1110000.0,Casablanca,1.0,3.0,3.0,109.0,1,1,1,1,1,1,0,0,1,1,0
227,720000.0,Casablanca,1.0,3.0,2.0,85.0,0,0,0,0,0,0,0,0,1,0,0
228,890000.0,Casablanca,1.0,2.0,2.0,64.0,1,1,0,1,0,1,0,0,1,1,1
229,320000.0,Tanger,1.0,2.0,1.0,58.0,0,0,0,0,0,0,0,0,0,0,0
230,890000.0,Agadir,1.0,2.0,2.0,136.0,1,1,1,1,1,1,0,0,1,1,0
231,890000.0,El Jadida,1.0,2.0,2.0,80.0,1,1,0,0,1,1,0,0,0,1,1
232,1450000.0,Marrakech,1.0,2.0,2.0,76.0,1,1,1,1,1,1,0,1,1,1,1
234,890000.0,Tanger,1.0,2.0,2.0,90.0,1,1,0,0,0,1,0,0,1,1,0
235,890000.0,Tamaris,1.0,2.0,2.0,65.0,0,1,1,1,1,1,0,0,1,1,1
236,890000.0,Casablanca,1.0,2.0,2.0,82.0,0,0,0,0,0,0,0,0,0,0,0
237,1400000.0,Casablanca,1.0,3.0,2.0,132.0,1,1,0,0,1,0,0,0,1,0,1
238,560000.0,Martil,1.0,2.0,2.0,98.0,0,1,0,0,0,1,0,0,0,1,1
239,925000.0,Fès,3.0,3.0,2.0,145.0,0,1,0,1,0,1,0,0,0,0,1
240,720000.0,Casablanca,1.0,2.0,1.0,69.0,0,0,0,0,0,0,0,0,0,0,0
241,890000.0,Meknès,2.0,2.0,2.0,110.0,0,0,0,0,0,0,0,0,0,0,0
242,1200000.0,Temara,2.0,2.0,2.0,98.0,1,1,0,0,1,1,0,0,1,1,0
243,1064000.0,Temara,1.0,2.0,1.0,76.0,1,1,0,0,0,0,0,0,1,0,1
244,890000.0,Marrakech,1.0,2.0,2.0,86.0,1,1,1,1,1,1,0,0,1,1,0
245,890000.0,Kénitra,2.0,2.0,2.0,103.0,1,1,1,1,0,0,0,1,1,1,0
246,2140000.0,Rabat,1.0,3.0,2.0,114.0,1,1,1,1,1,1,0,0,1,1,1
247,1100000.0,Tanger,1.0,2.0,2.0,82.0,1,1,1,1,1,1,0,1,1,1,0
248,950000.0,Casablanca,1.0,2.0,1.0,75.0,0,1,0,0,0,0,0,0,0,0,1
249,890000.0,Asilah,1.0,2.0,2.0,95.0,1,1,1,1,1,1,0,0,1,1,1
250,600000.0,Kénitra,2.0,2.0,2.0,78.0,0,1,0,1,1,1,0,0,0,1,0
251,565000.0,Dar Bouazza,1.0,2.0,2.0,66.0,0,1,0,0,0,1,0,0,1,0,1
252,890000.0,Tanger,1.0,2.0,2.0,127.0,1,1,0,0,0,1,0,1,1,1,0
253,890000.0,Casablanca,1.0,2.0,2.0,82.0,0,0,0,0,0,0,0,0,0,0,0
254,890000.0,Casablanca,1.0,2.0,2.0,56.0,0,1,0,0,0,0,0,1,0,1,0
255,820000.0,Casablanca,1.0,3.0,1.0,82.0,0,1,0,0,0,1,0,0,1,0,1
